NUMBER     CUSTOMER	  TIME	     PRODUCT
1  0	0	hering
2  0	1	corned_b
3  0	2	olives
4  0	3	ham
5  0	4	turkey
6  0	5	bourbon
7  0	6	ice_crea
8  1	0	baguette
9  1	1	soda
1  1	2	hering
10  1	3	cracker
11  1	4	heineken
3  1	5	olives
2  1	6	corned_b
12  2	0	avocado
10  2	1	cracker
13  2	2	artichok
11  2	3	heineken
4  2	4	ham
5  2	5	turkey
14  2	6	sardines
3  3	0	olives
6  3	1	bourbon
15  3	2	coke
5  3	3	turkey
7  3	4	ice_crea
4  3	5	ham
16  3	6	peppers
1  4	0	hering
2  4	1	corned_b
17  4	2	apples
3  4	3	olives
18  4	4	steak
12  4	5	avocado
5  4	6	turkey
14  5	0	sardines
11  5	1	heineken
19  5	2	chicken
15  5	3	coke
7  5	4	ice_crea
16  5	5	peppers
4  5	6	ham
3  6	0	olives
6  6	1	bourbon
15  6	2	coke
5  6	3	turkey
7  6	4	ice_crea
11  6	5	heineken
17  6	6	apples
2  7	0	corned_b
16  7	1	peppers
6  7	2	bourbon
10  7	3	cracker
19  7	4	chicken
7  7	5	ice_crea
8  7	6	baguette
9  8	0	soda
3  8	1	olives
6  8	2	bourbon
10  8	3	cracker
11  8	4	heineken
16  8	5	peppers
8  8	6	baguette
2  9	0	corned_b
16  9	1	peppers
6  9	2	bourbon
10  9	3	cracker
19  9	4	chicken
20  9	5	bordeaux
1  9	6	hering
8  10	0	baguette
14  10	1	sardines
17  10	2	apples
16  10	3	peppers
12  10	4	avocado
18  10	5	steak
5  10	6	turkey
8  11	0	baguette
1  11	1	hering
12  11	2	avocado
13  11	3	artichok
11  11	4	heineken
17  11	5	apples
2  11	6	corned_b
1  12	0	hering
2  12	1	corned_b
17  12	2	apples
3  12	3	olives
18  12	4	steak
14  12	5	sardines
11  12	6	heineken
8  13	0	baguette
14  13	1	sardines
17  13	2	apples
16  13	3	peppers
12  13	4	avocado
18  13	5	steak
7  13	6	ice_crea
1  14	0	hering
2  14	1	corned_b
3  14	2	olives
4  14	3	ham
5  14	4	turkey
15  14	5	coke
17  14	6	apples
3  15	0	olives
6  15	1	bourbon
15  15	2	coke
5  15	3	turkey
7  15	4	ice_crea
13  15	5	artichok
4  15	6	ham
8  16	0	baguette
1  16	1	hering
12  16	2	avocado
13  16	3	artichok
11  16	4	heineken
15  16	5	coke
5  16	6	turkey
14  17	0	sardines
11  17	1	heineken
19  17	2	chicken
15  17	3	coke
7  17	4	ice_crea
2  17	5	corned_b
17  17	6	apples
9  18	0	soda
3  18	1	olives
6  18	2	bourbon
10  18	3	cracker
11  18	4	heineken
8  18	5	baguette
16  18	6	peppers
9  19	0	soda
3  19	1	olives
6  19	2	bourbon
10  19	3	cracker
11  19	4	heineken
18  19	5	steak
1  19	6	hering
1  20	0	hering
2  20	1	corned_b
3  20	2	olives
4  20	3	ham
5  20	4	turkey
17  20	5	apples
8  20	6	baguette
8  21	0	baguette
1  21	1	hering
12  21	2	avocado
13  21	3	artichok
11  21	4	heineken
6  21	5	bourbon
2  21	6	corned_b
9  22	0	soda
3  22	1	olives
6  22	2	bourbon
10  22	3	cracker
11  22	4	heineken
13  22	5	artichok
18  22	6	steak
9  23	0	soda
3  23	1	olives
6  23	2	bourbon
10  23	3	cracker
11  23	4	heineken
2  23	5	corned_b
1  23	6	hering
14  24	0	sardines
11  24	1	heineken
19  24	2	chicken
15  24	3	coke
7  24	4	ice_crea
