NUMBERS:
1  2  3  4  5  6  7  
1  2  3  8  9  10  11  
4  5  10  11  12  13  14  
3  4  5  6  7  15  16  
1  2  3  5  12  17  18  
4  7  11  14  15  16  19  
3  5  6  7  11  15  17  
2  6  7  8  10  16  19  
3  6  8  9  10  11  16  
1  2  6  10  16  19  20  
5  8  12  14  16  17  18  
1  2  8  11  12  13  17  
1  2  3  11  14  17  18  
7  8  12  14  16  17  18  
1  2  3  4  5  15  17  
3  4  5  6  7  13  15  
1  5  8  11  12  13  15  
2  7  11  14  15  17  19  
3  6  8  9  10  11  16  
1  3  6  9  10  11  18  
1  2  3  4  5  8  17  
1  2  6  8  11  12  13  
3  6  9  10  11  13  18  
1  2  3  6  9  10  11  
7  8  11  14  15  17  19  
2  7  11  14  15  16  19  
3  5  6  7  8  15  17  
3  5  6  7  9  12  15  
3  6  9  10  11  13  16  
3  5  6  7  9  14  15  
3  4  5  6  7  9  15  
1  2  6  10  15  16  19  
2  8  12  14  16  17  19  
3  4  6  9  10  11  20  
1  8  9  11  12  13  20  
1  2  3  4  5  8  10  
2  4  10  11  12  13  14  
3  6  9  10  11  17  18  
1  4  8  9  11  12  13  
7  11  13  14  15  18  19  
3  6  9  10  11  13  15  
1  2  3  8  17  18  19  
7  10  11  14  15  18  19  
1  3  6  9  10  11  18  
1  2  3  4  5  6  11  
2  6  7  7  10  16  19  
8  12  14  16  17  18  19  
1  8  9  10  11  13  14  
2  5  6  7  10  16  19  
1  4  10  11  12  13  14  
3  6  9  10  11  12  20  
5  7  8  12  14  16  17  
1  3  8  9  10  11  12  
1  2  8  11  12  13  19  
1  2  3  4  5  8  12  
1  2  4  8  9  10  11  
2  3  7  11  14  15  19  
1  8  9  10  11  12  12  
3  4  6  9  10  11  16  
2  6  10  16  17  18  19  
1  8  9  10  11  13  19  
1  4  10  11  12  13  18  
1  2  3  4  7  17  18  
1  5  8  11  12  13  18  
8  10  12  14  16  17  20  
1  2  8  9  10  11  19  
6  8  10  12  14  16  17  
1  2  3  9  15  17  18  
3  5  6  7  12  14  15  
2  6  7  9  10  16  19  
6  6  8  12  14  16  17  
1  2  3  4  5  15  17  
1  2  3  9  12  17  18  
5  8  9  12  14  16  17  
7  8  11  12  14  15  19  
2  6  10  15  16  17  19  
1  2  3  4  5  10  16  
2  3  5  6  7  10  15  
1  4  8  11  12  13  17  
2  5  6  10  16  18  19  
4  9  10  11  12  13  18  
2  4  8  10  11  12  13  
1  2  6  10  16  17  19  
1  2  3  4  15  17  18  
1  4  9  10  11  12  13  
1  2  3  5  8  17  18  
1  2  3  4  5  15  19  
1  2  3  13  15  17  18  
1  2  3  4  5  7  17  
3  4  10  11  12  13  18  
1  2  8  9  10  11  16  
1  2  8  11  12  13  20  
1  7  8  9  10  11  19  
2  3  6  9  10  11  17  
2  6  10  15  16  17  19  
1  2  3  4  5  7  13  
2  2  7  11  14  15  19  
3  5  6  7  9  11  15  
3  6  9  10  11  14  18  
1  2  3  8  16  17  18  
8  9  12  14  15  16  17  
1  2  3  4  5  7  16  
1  2  3  4  5  6  6  
1  8  9  10  11  14  16  
2  4  10  11  12  13  14  
1  2  3  4  8  17  18  
1  2  6  8  10  16  19  
2  4  7  11  14  15  19  
1  2  4  8  11  12  13  
3  6  9  10  11  12  19  
1  8  11  12  14  16  17  
3  7  11  14  15  19  20  
5  8  12  14  16  17  19  
1  5  7  11  14  15  19  
3  5  6  7  11  15  18  
3  4  6  9  10  11  12  
1  2  3  4  5  6  14  
7  11  14  15  17  17  19  
1  3  4  5  6  7  15  
1  2  3  4  17  18  19  
1  8  10  11  12  13  19  
8  12  13  14  16  17  19  
1  6  8  9  10  11  16  
3  6  7  9  10  11  14  
1  8  9  11  12  13  19  
2  6  7  9  10  16  19  
1  2  3  4  5  10  18  
3  5  6  7  15  16  19  
3  6  9  10  11  15  19  
3  5  6  7  12  15  16  
2  4  10  11  12  13  19  
1  8  9  10  11  12  19  
1  2  3  4  5  17  18  
1  3  4  6  9  10  11  
1  5  8  11  12  13  17  
1  7  11  14  15  16  19  
3  5  6  7  8  10  15  
1  2  3  4  5  7  19  
4  5  7  11  14  15  19  
2  4  10  11  12  13  19  
1  8  11  12  13  16  19  
3  6  9  10  11  12  20  
7  9  11  14  15  17  19  
4  10  11  12  13  15  20  
1  6  8  11  12  13  17  
1  2  3  4  5  11  15  
3  4  10  11  12  13  19  
2  3  6  9  10  11  17  
3  5  6  7  9  15  20  
4  10  11  12  13  18  19  
1  2  3  4  5  9  10  
2  6  10  16  17  18  19  
1  5  8  9  10  11  12  
3  5  6  7  13  15  17  
5  8  12  14  16  17  18  
2  3  6  10  14  16  19  
1  3  6  8  11  12  13  
4  5  7  10  11  12  13  
1  2  6  10  14  16  19  
1  2  3  4  5  13  19  
1  2  3  16  16  17  18  
3  8  12  13  14  16  17  
1  6  8  11  12  13  19  
4  8  12  14  15  16  17  
6  7  11  12  14  15  19  
4  10  11  12  13  19  20  
1  2  3  4  5  9  16  
1  2  6  9  10  16  19  
1  2  3  4  5  7  14  
4  6  9  10  11  12  13  
4  10  11  12  13  14  16  
2  4  6  10  11  16  19  
1  3  8  11  12  13  16  
2  3  6  8  9  10  11  
3  5  6  7  11  15  18  
1  2  6  8  9  10  11  
4  7  10  11  14  15  19  
1  2  3  12  12  17  18  
1  2  4  6  10  16  19  
1  3  7  8  9  10  11  
3  5  6  7  15  16  18  
1  2  3  6  11  17  18  
3  8  10  12  14  16  17  
2  5  6  10  16  17  19  
4  9  10  11  12  13  18  
1  2  3  4  5  8  11  
4  10  11  12  13  17  19  
1  8  9  10  11  15  20  
1  6  7  11  14  15  19  
1  7  11  14  15  17  19  
3  5  6  7  10  15  18  
1  2  3  6  16  17  18  
1  4  6  10  11  12  13  
1  8  11  12  13  14  20  
3  5  6  7  11  15  20  
1  2  3  4  5  7  9  
1  2  3  4  11  17  18  
3  5  6  7  13  15  16  
3  7  11  14  15  19  20  
3  5  6  7  10  11  15  
2  4  6  9  10  16  19  
1  8  11  12  13  14  18  
1  2  3  15  17  18  19  
7  8  11  12  14  16  17  
1  2  3  4  5  12  18  
4  7  10  11  12  13  14  
1  2  3  6  14  17  18  
7  8  12  14  16  17  18  
2  4  10  11  12  13  14  
1  2  6  10  15  16  19  
2  8  9  12  14  16  17  
4  9  10  11  12  13  15  
1  7  8  9  11  12  13  
1  8  11  12  13  15  19  
7  8  11  13  14  15  19  
3  5  6  7  8  11  15  
1  2  3  10  17  18  19  
1  8  11  12  13  16  17  
1  2  3  4  11  17  18  
1  2  3  12  17  18  20  
3  7  9  11  14  15  19  
3  5  6  9  10  11  18  
2  3  5  6  9  10  11  
1  2  3  7  14  17  18  
3  6  9  10  11  14  19  
7  11  13  14  15  17  19  
2  5  6  10  16  17  19  
3  4  5  6  7  8  15  
1  5  5  8  9  10  11  
3  5  6  7  13  15  17  
3  4  5  10  11  12  13  
1  2  3  6  12  17  18  
1  3  8  9  11  12  13  
1  2  3  16  16  17  18  
1  2  3  12  13  17  18  
1  8  10  11  12  13  17  
4  10  11  12  13  18  20  
1  4  6  8  11  12  13  
4  6  10  11  12  13  17  
1  2  3  6  8  17  18  
3  8  10  12  14  16  17  
6  6  8  12  14  16  17  
6  7  11  14  15  16  19  
1  7  11  14  15  17  19  
4  7  10  11  12  13  17  
6  7  11  13  14  15  19  
3  5  6  7  8  15  18  
3  5  6  7  10  15  19  
1  2  8  11  12  13  18  
5  7  11  14  15  17  19  
3  5  6  7  9  14  15  
1  2  3  13  17  18  20  
2  4  10  11  12  13  19  
1  8  9  10  11  12  13  
3  4  5  6  7  15  20  
1  4  7  10  11  12  13  
7  11  13  14  15  18  19  
1  3  6  9  10  11  19  
1  8  9  11  12  13  20  
3  6  9  10  11  12  12  
6  8  12  13  14  16  17  
1  4  7  11  14  15  19  
8  9  12  13  14  16  17  
1  2  3  4  5  6  16  
2  6  8  10  11  16  19  
1  2  3  4  5  6  11  
3  6  9  10  11  12  16  
1  8  9  10  11  12  13  
2  6  7  11  14  15  19  
3  5  6  7  15  16  17  
2  8  10  12  14  16  17  
2  4  10  11  12  13  18  
3  6  7  9  10  11  18  
4  9  10  11  12  13  18  
3  4  6  8  9  10  11  
8  10  12  14  16  17  18  
3  6  9  10  11  18  18  
1  2  3  7  15  17  18  
2  4  6  10  11  16  19  
7  9  10  11  14  15  19  
1  2  3  4  5  15  19  
8  10  12  14  16  17  18  
1  2  3  13  13  17  18  
1  2  3  4  17  18  20  
3  5  6  7  11  14  15  
4  10  11  12  13  19  20  
3  5  6  7  8  15  17  
1  2  3  4  5  11  12  
1  8  9  10  11  12  16  
1  2  3  4  8  17  18  
1  2  3  8  9  17  18  
3  6  9  10  11  17  19  
1  2  3  4  5  8  9  
1  7  8  9  10  11  12  
1  4  7  8  11  12  13  
2  4  6  10  16  18  19  
6  8  12  13  14  16  17  
2  7  11  14  15  19  20  
1  2  3  12  13  17  18  
1  5  8  11  12  13  19  
1  7  11  14  15  18  19  
2  8  12  14  16  17  18  
1  6  8  9  10  11  14  
2  6  10  11  16  17  19  
1  2  3  4  5  10  16  
1  2  3  15  17  18  20  
1  2  3  9  13  17  18  
1  7  10  11  14  15  19  
2  4  6  10  14  16  19  
1  5  8  9  10  11  18  
1  2  3  4  5  14  15  
1  4  8  9  10  11  17  
8  9  12  14  16  17  19  
1  2  3  11  14  17  18  
1  2  3  5  15  17  18  
1  2  3  4  5  17  18  
2  3  4  5  6  7  15  
3  5  6  7  8  11  15  
1  2  3  4  5  10  12  
1  8  11  12  13  16  18  
2  3  5  6  10  16  19  
8  11  12  14  16  17  20  
1  2  3  4  5  18  18  
1  8  9  10  11  16  16  
4  6  7  11  14  15  19  
7  9  11  12  14  15  19  
2  5  6  10  15  16  19  
